"","old","NPS","PS","year","displayauth","title"
"281","WOS:A1992KC39800002",107,25,1992,"Mark Johnston","How To Speak of the Colors"
"282","WOS:A1993KQ63200001",58,11,1993,"Stephen Yablo","Is Conceivability a Guide To Possibility"
"283","WOS:A1993ML38000001",119,9,1993,"Tyler Burge","Content Preservation"
"284","WOS:A1994MT56900001",73,16,1994,"C. B. Martin","Dispositions and Conditionals"
"285","WOS:A1994NQ78600001",57,2,1994,"Malcom Forster and Elliot Sober","How To Tell When Simpler, More Unified, or Less _Ad Hoc_ Theories Will Provide More Accurate Predictions"
"286","WOS:A1994PM10400005",116,22,1994,"David Lewis","Humean Supervenience Debugged"
"287","WOS:A1995QX94800001",84,12,1995,"Dorothy Edgington","On Conditionals"
"288","WOS:A1995RC31600001",122,10,1995,"Keith DeRose","Solving the Skeptical Problem"
"289","WOS:A1996UV93000001",69,4,1996,"Frank Veltman","Defaults in Update Semantics"
"290","WOS:A1996VL52500002",54,4,1996,"Karen Jones","Trust as An Affective Attitude"
"291","WOS:A1996VY21200001",194,36,1996,"David Lewis","Elusive Knowledge"
"292","WOS:A1996XR76100003",58,10,1996,"Timothy Williamson","Knowing and Asserting"
"293","WOS:A1997WP33800001",86,27,1997,"David Lewis","Finkish Dispositions"
